"","coords.x1","coords.x2",""
"411",389775.5,288534.5,107.190002441406
"412",389763.5,288562.5,108.540000915527
"413",389775.5,288576.5,108
"414",389767.5,288554.5,108.949996948242
"415",389769.5,288626.5,108.190002441406
"416",389798.5,288535.5,106.650001525879
"417",389772.5,288603.5,109.160003662109
"418",389789.5,288637.5,107.01000213623
"419",389802.5,288620.5,107
"420",389765.5,288579.5,108.25
"421",389787.5,288529.5,108.550003051758
"422",389765.5,288617.5,108.430000305176
"423",389808.5,288589.5,105.180000305176
"424",389770.5,288551.5,108.709999084473
"425",389775.5,288558.5,107.120002746582
"426",389773.5,288610.5,109.01000213623
"427",389789.5,288639.5,106.650001525879
"428",389762.5,288559.5,108.559997558594
"429",389772.5,288541.5,107.519996643066
"430",389812.5,288624.5,106.879997253418
"431",389781.5,288591.5,107.099998474121
"432",389791.5,288534.5,107.23999786377
"433",389800.5,288525.5,106.580001831055
"434",389764.5,288574.5,108.23999786377
"435",389759.5,288541.5,109.099998474121
"436",389807.5,288606.5,105.339996337891
"437",389762.5,288535.5,109.230003356934
"438",389810.5,288627.5,107.339996337891
"439",389804.5,288570.5,105.709999084473
"440",389771.5,288570.5,109.029998779297
"441",389801.5,288561.5,106.110000610352
"442",389796.5,288636.5,106.610000610352
"443",389763.5,288534.5,109.419998168945
"444",389781.5,288592.5,107.059997558594
"445",389786.5,288530.5,108.910003662109
"446",389803.5,288564.5,105.879997253418
"447",389791.5,288521.5,107.349998474121
"448",389795.5,288554.5,106.949996948242
"449",389806.5,288577.5,105.550003051758
"450",389798.5,288584.5,106.269996643066
"451",389798.5,288563.5,106.230003356934
"452",389799.5,288537.5,106.580001831055
"453",389792.5,288633.5,106.830001831055
"454",389799.5,288640.5,106.879997253418
"455",389803.5,288561.5,105.940002441406
"456",389776.5,288609.5,107.779998779297
"457",389809.5,288579.5,105.389999389648
"458",389793.5,288639.5,106.550003051758
"459",389764.5,288530.5,109.319999694824
"460",389803.5,288632.5,106.550003051758
"461",389795.5,288533.5,106.889999389648
"462",389798.5,288536.5,106.680000305176
"463",389760.5,288554.5,108.73999786377
"464",389803.5,288545.5,106.209999084473
"465",389813.5,288585.5,104.949996948242
"466",389775.5,288635.5,108.48999786377
"467",389775.5,288585.5,108.419998168945
"468",389773.5,288605.5,109.01000213623
"469",389769.5,288531.5,107.889999389648
"470",389786.5,288524.5,108.080001831055
"471",389787.5,288631.5,107.059997558594
"472",389774.5,288590.5,109.110000610352
"473",389790.5,288548.5,107.470001220703
"474",389800.5,288621.5,107.709999084473
"475",389779.5,288589.5,107.379997253418
"476",389787.5,288520.5,107.839996337891
"477",389771.5,288612.5,109.279998779297
"478",389763.5,288548.5,108.980003356934
"479",389777.5,288527.5,108.379997253418
"480",389771.5,288604.5,109.169998168945
"481",389772.5,288563.5,108.569999694824
"482",389792.5,288632.5,106.73999786377
"483",389768.5,288579.5,108.440002441406
"484",389767.5,288603.5,107.98999786377
"485",389760.5,288609.5,107.459999084473
"486",389763.5,288532.5,109.419998168945
"487",389798.5,288586.5,106.040000915527
"488",389773.5,288600.5,109
"489",389791.5,288641.5,106.519996643066
"490",389798.5,288546.5,106.559997558594
"491",389800.5,288613.5,107.050003051758
"492",389776.5,288556.5,107.110000610352
"493",389776.5,288522.5,108.190002441406
"494",389799.5,288585.5,106.089996337891
"495",389815.5,288609.5,104.839996337891
"496",389764.5,288625.5,108.819999694824
"497",389774.5,288607.5,108.430000305176
"498",389765.5,288612.5,108.230003356934
"499",389764.5,288570.5,108.349998474121
"500",389805.5,288631.5,106.769996643066
"501",389772.5,288610.5,109.449996948242
"502",389800.5,288610.5,105.930000305176
"503",389774.5,288619.5,107.529998779297
"504",389799.5,288522.5,106.76000213623
"505",389800.5,288537.5,106.550003051758
"506",389777.5,288640.5,109.290000915527
"507",389809.5,288566.5,105.459999084473
"508",389771.5,288611.5,109.470001220703
"509",389772.5,288591.5,109.01000213623
"510",389781.5,288636.5,109.419998168945
"511",389797.5,288618.5,108.660003662109
"512",389770.5,288542.5,107.930000305176
"513",389792.5,288564.5,107.470001220703
"514",389799.5,288625.5,107.330001831055
"515",389787.5,288625.5,107.790000915527
"516",389799.5,288541.5,106.599998474121
"517",389786.5,288636.5,106.849998474121
"518",389802.5,288548.5,106.23999786377
"519",389806.5,288571.5,105.620002746582
"520",389773.5,288520.5,107.110000610352
"521",389778.5,288530.5,108.669998168945
"522",389772.5,288522.5,106.98999786377
